scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
binary-trees,java,server,-20,,process,1,6419094,100.054,27.553,,9.109,,30734083757,459845904,69079699,11379662,23548933,,0,0,0,0,0,0,0,0,1764087686060512
binary-trees,java,server,-20,,process,2,6236164,97.63,27.159,,8.969,,29858299626,460308554,66869317,11685822,22406784,,0,0,0,0,0,0,0,0,1764087692308137
binary-trees,java,server,-20,,process,3,6561178,101.953,27.876,,9.207,,31414879436,462881927,67065625,11354615,23611562,,0,0,0,0,0,0,0,0,1764087698880507
binary-trees,java,server,-20,,process,4,6686414,103.563,28.097,,9.3,,32014621863,462636300,68868497,11209888,24103792,,0,0,0,0,0,0,0,0,1764087705578110
binary-trees,java,server,-20,,process,5,6444036,100.186,27.414,,9.122,,30853764346,459643006,68599819,11473516,23052147,,0,0,0,0,0,0,0,0,1764087712033281
binary-trees,java,server,-20,,process,6,6725263,104.344,28.458,,9.291,,32200727707,463697652,70026105,11199923,24416295,,0,0,0,0,0,0,0,0,1764087718769678
binary-trees,java,server,-20,,process,7,6773400,105.135,28.737,,9.339,,32431304107,464386617,70190983,11097274,24494098,,0,0,0,0,0,0,0,0,1764087725554230
binary-trees,java,server,-20,,process,8,6459743,100.441,27.499,,9.15,,30929095942,461372839,68613348,11419029,23630827,,0,0,0,0,0,0,0,0,1764087732025052
binary-trees,java,server,-20,,process,9,6395834,99.543,27.297,,9.112,,30622968336,463337435,69631165,11513546,23313473,,0,0,0,0,0,0,0,0,1764087738431953
binary-trees,java,server,-20,,process,10,6454426,100.446,27.549,,9.135,,30903577749,459420578,66985336,11488713,22933263,,0,0,0,0,0,0,0,0,1764087744897491
binary-trees,java,server,-20,,process,11,6455743,100.696,27.805,,9.14,,30909707484,461164151,69376606,11406075,23448103,,0,0,0,0,0,0,0,0,1764087751364291
binary-trees,java,server,-20,,process,12,6738510,104.884,28.837,,9.357,,32263851101,465702260,69112536,11303847,24823882,,0,0,0,0,0,0,0,0,1764087758113805
binary-trees,java,server,-20,,process,13,6378187,99.439,27.386,,9.082,,30538486957,458675837,65885557,11251215,23225475,,0,0,0,0,0,0,0,0,1764087764503120
binary-trees,java,server,-20,,process,14,6498207,101.475,28.115,,9.183,,31113298527,460563644,66838856,11391242,23758000,,0,0,0,0,0,0,0,0,1764087771012473
binary-trees,java,server,-20,,process,15,6434597,100.177,27.514,,9.116,,30808654272,460613681,68936864,11428428,23596070,,0,0,0,0,0,0,0,0,1764087777458171
binary-trees,java,server,-20,,process,16,6660100,103.74,28.573,,9.235,,31888635220,463176071,68617158,11423657,23849206,,0,0,0,0,0,0,0,0,1764087784129430
binary-trees,java,server,-20,,process,17,6659716,103.27,28.119,,9.258,,31886799958,466097148,69173142,11401462,24252833,,0,0,0,0,0,0,0,0,1764087790800415
binary-trees,java,server,-20,,process,18,6822220,106.135,29.194,,9.346,,32664993594,465383133,71895092,11350363,24724529,,0,0,0,0,0,0,0,0,1764087797633762
binary-trees,java,server,-20,,process,19,6753187,105.141,28.944,,9.331,,32334421261,465185437,68620917,11107553,24717583,,0,0,0,0,0,0,0,0,1764087804398053
binary-trees,java,server,-20,,process,20,6363153,99.008,27.128,,9.042,,30466417612,458864139,67927613,11372772,22850499,,0,0,0,0,0,0,0,0,1764087810772287
binary-trees,java,server,-20,,process,21,6392072,99.533,27.339,,9.07,,30604988978,462337046,68183556,11397286,22891923,,0,0,0,0,0,0,0,0,1764087817175542
binary-trees,java,server,-20,,process,22,6783834,105.363,28.818,,9.383,,32480875858,466612917,67473470,11104669,24835316,,0,0,0,0,0,0,0,0,1764087823970466
binary-trees,java,server,-20,,process,23,6530156,101.595,27.862,,9.167,,31266339081,462891004,68552991,11371693,23656476,,0,0,0,0,0,0,0,0,1764087830511725
binary-trees,java,server,-20,,process,24,6801534,105.809,29.092,,9.332,,32566005334,466138940,70699920,11363063,24467836,,0,0,0,0,0,0,0,0,1764087837324366
binary-trees,java,server,-20,,process,25,6724612,104.297,28.414,,9.297,,32197616753,463755492,67029119,11244094,24218095,,0,0,0,0,0,0,0,0,1764087844060141
binary-trees,java,server,-20,,process,26,6573872,102.19,27.962,,9.245,,31475720726,462617904,68243811,11142596,24285632,,0,0,0,0,0,0,0,0,1764087850645101
binary-trees,java,server,-20,,process,27,6432127,99.948,27.302,,9.125,,30796821372,459230374,68449300,11324163,23266309,,0,0,0,0,0,0,0,0,1764087857088293
binary-trees,java,server,-20,,process,28,6516101,101.177,27.601,,9.201,,31198883561,460421012,66215603,11270682,23591894,,0,0,0,0,0,0,0,0,1764087863615457
binary-trees,java,server,-20,,process,29,6789145,105.618,29.022,,9.339,,32506645392,465035535,69919726,11297101,25018848,,0,0,0,0,0,0,0,0,1764087870415682
binary-trees,java,server,-20,,process,30,6630106,103.082,28.243,,9.273,,31744970942,463174353,69263149,11198724,24771559,,0,0,0,0,0,0,0,0,1764087877056867
binary-trees,java,server,-20,,process,31,6616682,103.041,28.352,,9.237,,31680701021,462683825,68610866,11413543,24195670,,0,0,0,0,0,0,0,0,1764087883684626
binary-trees,java,server,-20,,process,32,6400849,99.522,27.217,,9.097,,30646939735,461169233,66472988,11319543,23608795,,0,0,0,0,0,0,0,0,1764087890096569
binary-trees,java,server,-20,,process,33,6461315,100.515,27.536,,9.137,,30936532322,460402593,66734682,11263841,23478469,,0,0,0,0,0,0,0,0,1764087896568945
binary-trees,java,server,-20,,process,34,6463926,100.242,27.241,,9.125,,30948953078,458730552,70371878,11435285,23416045,,0,0,0,0,0,0,0,0,1764087903044007
binary-trees,java,server,-20,,process,35,6716050,104.292,28.509,,9.294,,32156589096,462359474,68470180,11172917,24469171,,0,0,0,0,0,0,0,0,1764087909771227
binary-trees,java,server,-20,,process,36,6404000,99.759,27.42,,9.102,,30661982425,460118300,67054471,11293333,23426628,,0,0,0,0,0,0,0,0,1764087916186312
binary-trees,java,server,-20,,process,37,6665905,103.759,28.512,,9.318,,31916136678,465363529,69340771,11254971,25144312,,0,0,0,0,0,0,0,0,1764087922863285
binary-trees,java,server,-20,,process,38,6520350,101.539,27.904,,9.197,,31219304052,462198031,67568583,11320980,23914749,,0,0,0,0,0,0,0,0,1764087929394757
binary-trees,java,server,-20,,process,39,6348672,98.923,27.202,,9.101,,30397149172,461303797,65201387,11461530,23496138,,0,0,0,0,0,0,0,0,1764087935754588
binary-trees,java,server,-20,,process,40,6623875,102.87,28.104,,9.228,,31714816291,463322606,69710561,11248969,23814944,,0,0,0,0,0,0,0,0,1764087942389556
binary-trees,java,server,-20,,process,41,6707724,104.298,28.597,,9.306,,32116653694,464236123,69241420,11132528,24618297,,0,0,0,0,0,0,0,0,1764087949108415
binary-trees,java,server,-20,,process,42,6775546,105.355,28.907,,9.362,,32441450901,463269651,68338481,11202515,24241022,,0,0,0,0,0,0,0,0,1764087955895132
binary-trees,java,server,-20,,process,43,6637676,103.547,28.618,,9.279,,31781218353,463920736,69124776,11151015,24328892,,0,0,0,0,0,0,0,0,1764087962543968
binary-trees,java,server,-20,,process,44,6854610,106.664,29.352,,9.407,,32820123176,466664957,71966561,11330521,25197479,,0,0,0,0,0,0,0,0,1764087969409739
binary-trees,java,server,-20,,process,45,6650328,103.435,28.377,,9.264,,31841906114,462651737,68806069,11311394,23942079,,0,0,0,0,0,0,0,0,1764087976071281
binary-trees,java,server,-20,,process,46,7327396,112.541,30.02,,9.754,,35084453938,463164406,70348452,11403570,24195997,,0,0,0,0,0,0,0,0,1764087983409856
binary-trees,java,server,-20,,process,47,6350873,98.81,27.084,,9.027,,30407762198,459641355,67483481,11542386,22338843,,0,0,0,0,0,0,0,0,1764087989771886
binary-trees,java,server,-20,,process,48,6810557,105.913,29.08,,9.366,,32609101257,463395340,69073301,11225500,24380672,,0,0,0,0,0,0,0,0,1764087996593560
binary-trees,java,server,-20,,process,49,6516533,101.348,27.765,,9.143,,31201072956,462093693,69604459,11360187,23505034,,0,0,0,0,0,0,0,0,1764088003121290
binary-trees,java,server,-20,,process,50,6878247,106.684,29.107,,9.401,,32933404885,466261253,69648649,11004429,25083186,,0,0,0,0,0,0,0,0,1764088010010738
binary-trees,java,server,-20,,process,51,6638241,103.356,28.424,,9.234,,31784002764,462661712,68763862,11354709,23709435,,0,0,0,0,0,0,0,0,1764088016660192
binary-trees,java,server,-20,,process,52,6831765,106.197,29.127,,9.389,,32710741970,467481865,70209310,11205350,24879380,,0,0,0,0,0,0,0,0,1764088023503116
binary-trees,java,server,-20,,process,53,6723332,105.008,29.141,,9.34,,32191457140,464449305,70326666,11342299,24689881,,0,0,0,0,0,0,0,0,1764088030237640
binary-trees,java,server,-20,,process,54,6418068,100.326,27.829,,9.104,,30729540413,462094551,67338271,11589591,23553011,,0,0,0,0,0,0,0,0,1764088036666857
binary-trees,java,server,-20,,process,55,6584179,102.718,28.401,,9.22,,31525070526,466444392,69960148,11429947,25034363,,0,0,0,0,0,0,0,0,1764088043262218
binary-trees,java,server,-20,,process,56,6470775,100.77,27.695,,9.138,,30981886917,460797104,68893977,11311403,23591201,,0,0,0,0,0,0,0,0,1764088049744188
binary-trees,java,server,-20,,process,57,6692033,104.026,28.503,,9.29,,32041606512,463164525,68756737,11099194,24538507,,0,0,0,0,0,0,0,0,1764088056447372
binary-trees,java,server,-20,,process,58,6736302,104.638,28.628,,9.321,,32253637491,464281680,68418992,11196632,24545838,,0,0,0,0,0,0,0,0,1764088063194911
binary-trees,java,server,-20,,process,59,6472085,100.752,27.663,,9.149,,30987924938,460771712,68328262,11503115,23787193,,0,0,0,0,0,0,0,0,1764088069678162
binary-trees,java,server,-20,,process,60,6445507,100.188,27.404,,9.081,,30860651435,462871446,67327573,11509911,22589003,,0,0,0,0,0,0,0,0,1764088076134806
regex-redux,c,optimized,-20,,process,1,4428134,66.271,17.254,,2.917,,21199314659,33739824,5846808,770469,197454613,,0,0,0,0,0,0,0,0,1764088154483241
regex-redux,c,optimized,-20,,process,2,4474021,67.115,17.569,,2.948,,21419194888,34511812,6726784,811835,197234917,,0,0,0,0,0,0,0,0,1764088158968169
regex-redux,c,optimized,-20,,process,3,4442938,66.731,17.53,,2.928,,21270398857,34077633,5790789,788275,196690236,,0,0,0,0,0,0,0,0,1764088163422082
regex-redux,c,optimized,-20,,process,4,4448536,66.695,17.425,,2.94,,21297271523,34538615,6926203,816726,197134472,,0,0,0,0,0,0,0,0,1764088167881594
regex-redux,c,optimized,-20,,process,5,4452192,66.78,17.494,,2.937,,21314726833,34570648,6591674,801945,197534986,,0,0,0,0,0,0,0,0,1764088172344799
